PolygonID,LCID,HydroSG,CN,Acres,PCT_Area,CCN,CatchmentID
109,23,B,69,0.1277073,0.0000538,0.0037152,
110,23,B,69,0.165863,0.0000699,0.0048252,
111,23,B,69,0.04875,0.0000206,0.0014182,
112,22,B,69,0.0290046,0.0000122,0.0008438,
113,22,B,69,0.1231825,0.0000519,0.0035835,
114,21,B,69,0.0303309,0.0000128,0.0008824,
115,21,B,69,0.0030889,0.0000013,0.0000899,
116,22,B,69,0.4447897,0.0001875,0.0129395,
117,23,B,69,0.4447897,0.0001875,0.0129395,
118,22,C,79,0.2313288,0.0000975,0.007705,
119,22,B,69,0.3699297,0.000156,0.0107617,
120,22,B,69,0.0006691,0.0000003,0.0000195,
121,22,B,69,0.3737646,0.0001576,0.0108733,
122,22,C,79,0.0844804,0.0000356,0.0028138,
123,22,B,69,0.1379144,0.0000581,0.0040121,
124,23,B,69,0.2223948,0.0000938,0.0064698,
125,22,B,69,0.2223948,0.0000938,0.0064698,
126,23,C,79,0.6121882,0.0002581,0.0203904,
127,23,B,69,1.6451819,0.0006936,0.0478605,
128,23,B,69,0.0009796,0.0000004,0.0000285,
129,23,B,69,7.3577566,0.0031021,0.2140469,
130,23,C,79,0.0540196,0.0000228,0.0017993,
131,23,B,69,0.1683752,0.000071,0.0048983,
132,24,C,,1.2843975,0.0005415,,
133,24,B,,1.3827457,0.000583,,
134,24,B,,0.4608143,0.0001943,,
135,24,B,,1.2283665,0.0005179,,
136,24,B,,0.0415123,0.0000175,,
137,23,B,69,0.2223948,0.0000938,0.0064698,
138,23,B,69,0.2223948,0.0000938,0.0064698,
139,23,B,69,0.2726828,0.000115,0.0079327,
140,23,B,69,0.2990642,0.0001261,0.0087002,
141,22,B,69,0.2223948,0.0000938,0.0064698,
142,23,B,69,0.4447897,0.0001875,0.0129395,
143,23,B,69,0.4447897,0.0001875,0.0129395,
144,22,B,69,0.3663543,0.0001545,0.0106577,
145,22,B,69,0.4731295,0.0001995,0.013764,
146,22,B,69,5.0036845,0.0021096,0.1455638,
147,22,B,69,0.0079337,0.0000033,0.0002308,
148,22,B,69,0.0501892,0.0000212,0.0014601,
149,22,B,69,1.1453799,0.0004829,0.0333206,
150,21,B,69,2.150548,0.0009067,0.0625623,
151,21,B,69,1.1853746,0.0004998,0.0344841,
152,22,B,69,0.2199895,0.0000928,0.0063998,
153,22,D,84,0.0024054,0.000001,0.0000852,
154,23,B,69,0.0018821,0.0000008,0.0000548,
155,22,B,69,2.2415698,0.0009451,0.0652102,
156,23,B,69,1.3911022,0.0005865,0.040469,
157,22,D,84,0.052579,0.0000222,0.0018621,
158,22,,,0.0075994,0.0000032,,
159,22,B,69,0.2501754,0.0001055,0.0072779,
160,23,D,84,0.1903842,0.0000803,0.0067426,
161,23,C,79,0.062809,0.0000265,0.002092,
162,23,,,3.1074755,0.0013102,,
163,23,B,69,0.0838451,0.0000354,0.0024392,
164,22,C,79,0.0578248,0.0000244,0.001926,
165,22,,,0.6093597,0.0002569,,
166,22,D,84,0.1521871,0.0000642,0.0053898,
167,22,,,0.0727684,0.0000307,,
168,22,B,69,0.0233168,0.0000098,0.0006783,
169,22,C,79,0.1263096,0.0000533,0.0042071,
170,23,,,0.2223948,0.0000938,,
171,41,B,60,0.1932501,0.0000815,0.0048886,
172,41,B,60,0.7164729,0.0003021,0.0181245,
173,21,B,69,0.1851228,0.0000781,0.0053855,
174,21,C,79,0.037272,0.0000157,0.0012414,
175,23,B,69,0.5703248,0.0002405,0.0165915,
176,23,B,69,0.9721698,0.0004099,0.0282817,
177,23,D,84,0.4175857,0.0001761,0.014789,
178,24,B,,0.4518676,0.0001905,,
179,24,D,,0.6218825,0.0002622,,
180,24,B,,1.0339204,0.0004359,,
181,24,B,,0.8335413,0.0003514,,
182,24,D,,0.7641128,0.0003222,,
183,21,B,69,0.1399982,0.000059,0.0040727,
184,21,B,69,0.2994453,0.0001263,0.0087113,
185,21,C,79,0.0053463,0.0000023,0.0001781,
186,22,,,0.1424717,0.0000601,,
187,24,,,0.1804668,0.0000761,,
188,24,D,,0.041928,0.0000177,,
189,23,,,0.319781,0.0001348,,
190,23,D,84,0.3598236,0.0001517,0.0127433,
191,23,D,84,0.1013328,0.0000427,0.0035888,
192,23,D,84,0.0828044,0.0000349,0.0029326,
193,22,D,84,0.0009654,0.0000004,0.0000342,
194,22,B,69,1.7804127,0.0007506,0.0517946,
195,22,B,69,0.1027065,0.0000433,0.0029879,
196,22,,,0.9295663,0.0003919,,
197,23,B,69,0.2859907,0.0001206,0.0083199,
198,23,B,69,0.8138905,0.0003431,0.0236772,
199,23,,,0.281047,0.0001185,,
200,23,D,84,2.555007,0.0010772,0.0904869,
201,24,,,0.2223948,0.0000938,,
202,22,B,69,1.8774829,0.0007916,0.0546185,
203,22,B,69,0.094512,0.0000398,0.0027495,
204,41,B,60,0.1932591,0.0000815,0.0048888,
205,41,B,60,1.0484903,0.0004421,0.0265235,
206,41,C,73,1.0243324,0.0004319,0.0315267,
207,22,,,0.7830158,0.0003301,,
208,22,B,69,0.5050786,0.0002129,0.0146934,
209,23,,,0.6671845,0.0002813,,
210,22,,,0.5973148,0.0002518,,
211,22,B,69,0.0698698,0.0000295,0.0020326,
212,21,B,69,0.7707342,0.000325,0.0224217,
213,21,B,69,0.913744,0.0003852,0.026582,
214,21,C,79,0.2244955,0.0000947,0.0074774,
215,22,B,69,0.0874074,0.0000369,0.0025428,
216,22,,,4.3858528,0.0018491,,
217,22,D,84,1.456111,0.0006139,0.0515689,
218,22,,,0.151782,0.000064,,
219,22,D,84,0.0706129,0.0000298,0.0025008,
220,23,,,0.2153139,0.0000908,,
221,23,D,84,0.2294758,0.0000968,0.008127,
222,21,C,79,1.1063533,0.0004665,0.0368498,
223,21,B,69,1.3981884,0.0005895,0.0406752,
224,21,B,69,1.3867087,0.0005847,0.0403412,
225,21,,,9.4428129,0.0039812,,
226,22,,,0.2223948,0.0000938,,
227,23,,,0.0002671,0.0000001,,
228,23,D,84,0.2221278,0.0000937,0.0078668,
229,24,D,,1.4537203,0.0006129,,
230,22,,,0.2223948,0.0000938,,
231,21,,,3.8184462,0.0016099,,
232,22,D,84,0.1424717,0.0000601,0.0050457,
233,23,,,0.6984289,0.0002945,,
234,23,D,84,1.3958616,0.0005885,0.0494352,
235,22,D,84,0.2223948,0.0000938,0.0078762,
236,41,B,60,0.6768886,0.0002854,0.0171231,
237,41,B,60,0.0860113,0.0000363,0.0021758,
238,41,B,60,5.1402888,0.0021672,0.1300329,
239,21,D,84,11.4644842,0.0048336,0.4060208,
240,21,B,69,1.0966194,0.0004623,0.0319021,
241,21,C,79,1.8362873,0.0007742,0.0611621,
242,21,B,69,1.419219,0.0005984,0.041287,
243,21,B,69,1.045645,0.0004409,0.0304192,
244,21,B,69,0.1026323,0.0000433,0.0029857,
245,21,B,69,4.8780646,0.0020567,0.1419094,
246,21,C,79,1.6770008,0.000707,0.0558566,
247,21,B,69,0.494514,0.0002085,0.0143861,
248,21,B,69,10.3917971,0.0043813,0.3023112,
249,21,B,69,0.2251552,0.0000949,0.0065501,
250,21,B,69,0.2372115,0.0001,0.0069008,
251,21,B,69,0.8769459,0.0003697,0.0255115,
252,21,B,69,5.3531389,0.002257,0.1557299,
253,21,,,11.3082457,0.0047677,,
254,21,B,69,0.2246087,0.0000947,0.0065342,
255,21,B,69,26.9748192,0.0113729,0.7847333,
256,21,B,69,7.1922202,0.0030323,0.2092312,
257,21,B,69,1.2851472,0.0005418,0.0373866,
258,21,C,79,0.3295153,0.0001389,0.0109753,
259,23,,,0.2929232,0.0001235,,
260,23,D,84,0.1518665,0.000064,0.0053784,
261,21,B,69,0.7555631,0.0003186,0.0219803,
262,21,,,0.0394876,0.0000166,,
263,21,B,69,0.1003249,0.0000423,0.0029186,
264,21,,,0.0420925,0.0000177,,
265,22,,,2.0946321,0.0008831,,
266,22,D,84,0.1293163,0.0000545,0.0045798,
267,22,,,0.19361,0.0000816,,
268,22,D,84,0.0287849,0.0000121,0.0010194,
269,23,D,84,0.4267997,0.0001799,0.0151153,
270,21,B,69,0.034623,0.0000146,0.0010072,
271,21,B,69,0.1611501,0.0000679,0.0046881,
272,21,,,0.8895794,0.0003751,,
273,43,,,0.1424717,0.0000601,,
274,23,D,84,1.4429603,0.0006084,0.0511032,
275,22,B,69,0.0153982,0.0000065,0.000448,
276,22,B,69,0.493876,0.0002082,0.0143675,
277,22,,,0.2223948,0.0000938,,
278,43,,,0.4447897,0.0001875,,
279,21,,,1.4142922,0.0005963,,
280,22,,,0.2223948,0.0000938,,
281,24,D,,0.6671845,0.0002813,,
282,23,D,84,0.2223948,0.0000938,0.0078762,
283,22,A,49,0.6281788,0.0002648,0.0129776,
284,22,B,69,0.0044674,0.0000019,0.00013,
285,22,B,69,0.0234042,0.0000099,0.0006809,
286,22,D,84,2.4571269,0.001036,0.0870204,
287,24,C,,0.0127064,0.0000054,,
288,23,C,79,0.0531497,0.0000224,0.0017703,
289,24,,,0.0087671,0.0000037,,
290,24,D,,0.1773236,0.0000748,,
291,24,,,0.0606189,0.0000256,,
292,24,D,,0.729908,0.0003077,,
293,43,,,0.3102995,0.0001308,,
294,24,D,,0.2223948,0.0000938,,
295,23,C,79,0.1807359,0.0000762,0.0060199,
296,24,D,,0.7322236,0.0003087,,
