OBJECTID,FID_LandCover_Elicott,Id,gridcode,FID_soils,AREASYMBOL,SPATIALVER,MUSYM,MUKEY,HydroSG,Shape_Length,Shape_Area,CN,Land_Cover,Acres,Percent_Area,compositeCN
13,8,507694,22,177,MD027,6,UaF,628165,,96.134548904265472,482.283053935239536,,"Developed, Low Intensity",0.1191747,0.0000502,
14,9,507695,22,177,MD027,6,UaF,628165,,80.272257217108063,355.632582429939191,,"Developed, Low Intensity",0.0878787,0.0000371,
15,9,507695,22,210,MD027,6,GgB,792989,B,70.220111176128370,220.929917613333203,69,"Developed, Low Intensity",0.0545930,0.0000230,0.0015882
16,10,507873,21,210,MD027,6,GgB,792989,B,11.655836989028032,4.916659111060064,69,"Developed, Open Space",0.0012149,0.0000005,0.0000353
17,11,508032,22,184,MD027,6,GhB,792997,B,68.760853075483055,195.225138572943024,69,"Developed, Low Intensity",0.0482412,0.0000203,0.0014034
18,12,508033,22,184,MD027,6,GhB,792997,B,293.419373887237839,3681.476029784374987,69,"Developed, Low Intensity",0.9097126,0.0003835,0.0264647
19,13,508034,41,5,MD027,6,BaA,792298,D,188.647203878577017,1888.957834281865644,79,Deciduous Forest,0.4667716,0.0001968,0.0155470
20,13,508034,41,69,MD027,6,MaD,793434,B,120.018806713003841,563.416285930517347,60,Deciduous Forest,0.1392232,0.0000587,0.0035219
21,13,508034,41,124,MD027,6,MaC,793433,B,21.313691407437322,16.864459078313647,60,Deciduous Forest,0.0041673,0.0000018,0.0001054
22,13,508034,41,184,MD027,6,GhB,792997,B,342.150985759177956,6032.849811498530471,60,Deciduous Forest,1.4907496,0.0006285,0.0377112
23,14,508035,22,124,MD027,6,MaC,793433,B,81.476462963186137,248.854559617719332,69,"Developed, Low Intensity",0.0614933,0.0000259,0.0017889
24,14,508035,22,177,MD027,6,UaF,628165,,168.194060887359029,1551.145440438159994,,"Developed, Low Intensity",0.3832964,0.0001616,
25,15,508230,22,184,MD027,6,GhB,792997,B,68.760798020290707,295.224752373475781,69,"Developed, Low Intensity",0.0729516,0.0000308,0.0021223
26,16,508231,22,177,MD027,6,UaF,628165,,119.999999996274710,899.999999944120646,,"Developed, Low Intensity",0.2223948,0.0000938,
27,17,508232,21,177,MD027,6,UaF,628165,,112.521304072700815,576.562500041909516,,"Developed, Open Space",0.1424717,0.0000601,
28,18,508628,22,48,MD027,6,GnB,793003,C,54.065470104760585,56.807890838524415,79,"Developed, Low Intensity",0.0140375,0.0000059,0.0004676
29,18,508628,22,123,MD027,6,MaC,793433,B,52.769413424159751,115.736467148949600,69,"Developed, Low Intensity",0.0285991,0.0000121,0.0008320
30,18,508628,22,183,MD027,6,GhB,792997,B,287.139876075344660,3086.865069784506431,69,"Developed, Low Intensity",0.7627810,0.0003216,0.0221903
31,18,508628,22,210,MD027,6,GgB,792989,B,217.409178017634275,1410.693575854254959,69,"Developed, Low Intensity",0.3485900,0.0001470,0.0101409
32,19,509183,41,5,MD027,6,BaA,792298,D,411.084230617960884,4384.144293015332551,79,Deciduous Forest,1.0833457,0.0004568,0.0360835
33,19,509183,41,69,MD027,6,MaD,793434,B,275.217936309396919,1883.603377657111423,60,Deciduous Forest,0.4654485,0.0001962,0.0117744
34,19,509183,41,124,MD027,6,MaC,793433,B,32.385578282680093,49.931311647001706,60,Deciduous Forest,0.0123383,0.0000052,0.0003121
35,19,509183,41,184,MD027,6,GhB,792997,B,88.874255705145345,198.944908256895729,60,Deciduous Forest,0.0491604,0.0000207,0.0012436
36,20,509369,22,184,MD027,6,GhB,792997,B,107.636948673584300,331.999306963562617,69,"Developed, Low Intensity",0.0820388,0.0000346,0.0023866
37,21,509370,41,6,MD027,6,GgC,792996,B,267.796195998283054,3101.343865249821192,60,Deciduous Forest,0.7663587,0.0003231,0.0193864
38,21,509370,41,48,MD027,6,GnB,793003,C,509.765798228621691,7200.467590344975179,73,Deciduous Forest,1.7792743,0.0007502,0.0547621
39,21,509370,41,123,MD027,6,MaC,793433,B,328.800897981072353,4170.019091923332780,60,Deciduous Forest,1.0304341,0.0004344,0.0260667
40,21,509370,41,183,MD027,6,GhB,792997,B,164.302381131881390,853.542629500170960,60,Deciduous Forest,0.2109150,0.0000889,0.0053355
41,21,509370,41,210,MD027,6,GgB,792989,B,339.233622506738811,3644.022436874375671,60,Deciduous Forest,0.9004576,0.0003796,0.0227787
42,22,509569,41,5,MD027,6,BaA,792298,D,121.632047283846362,768.756864576079693,79,Deciduous Forest,0.1899640,0.0000801,0.0063272
43,22,509569,41,184,MD027,6,GhB,792997,B,136.751876577186806,1031.243135395980516,60,Deciduous Forest,0.2548257,0.0001074,0.0064463
44,23,509789,22,184,MD027,6,GhB,792997,B,300.000028515335771,3926.989536720781416,69,"Developed, Low Intensity",0.9703802,0.0004091,0.0282297
45,24,509790,21,5,MD027,6,BaA,792298,D,67.952484741952858,157.418118117638528,84,"Developed, Open Space",0.0388989,0.0000164,0.0013776
46,24,509790,21,184,MD027,6,GhB,792997,B,109.888229591917835,742.581881826482118,69,"Developed, Open Space",0.1834960,0.0000774,0.0053381
47,25,509791,22,146,MD027,6,GgB,792989,B,281.477906574667031,2441.915440726968427,69,"Developed, Low Intensity",0.6034104,0.0002544,0.0175540
48,26,509949,41,5,MD027,6,BaA,792298,D,198.014264638550316,2164.971949631199550,79,Deciduous Forest,0.5349762,0.0002256,0.0178187
49,26,509949,41,184,MD027,6,GhB,792997,B,86.194840792494418,225.653050443233610,60,Deciduous Forest,0.0557601,0.0000235,0.0014106
