1,1,317
2,1,190
3,1,344
4,1,195
5,2,663
6,2,236
7,3,492
8,1,251
9,1,584
10,2,114
11,3,337
12,1,10
13,2,369
14,1,10
15,1,20
16,1,307
17,1,115
18,3,211
19,3,509
20,1,276
21,1,730
22,3,454
23,1,546
24,3,1090
25,1,451
26,3,241
27,3,278
28,4,268
29,3,256
30,2,11
31,1,203
32,2,2110
33,2,15
34,2,78
35,1,201
36,2,944
37,1,377
38,1,214
39,2,710
40,2,150
41,3,1341
42,1,764
43,1,331
44,1,280
45,2,603
46,1,329
47,2,773
48,1,136
49,1,166
50,2,680
51,1,18
52,1,149
53,1,141
